Step,Function,Nodes,p,Is isomorphic,Test result,Test execution time,NX execution time
2,third_test,50,0.2,False,False,0.0009999275207519531,0.0
0,dummy_test,60,0.2,False,False,0.0010187625885009766,0.0
0,first_test,60,0.2,False,False,0.0009999275207519531,0.0
0,second_test,60,0.2,False,False,0.0009999275207519531,0.0
0,third_test,60,0.2,False,False,0.0009999275207519531,0.0
1,dummy_test,60,0.2,False,False,0.0009989738464355469,0.0
1,first_test,60,0.2,False,False,0.0010008811950683594,0.0
1,second_test,60,0.2,False,False,0.0010001659393310547,0.0
1,third_test,60,0.2,False,False,0.0009992122650146484,0.0
2,dummy_test,60,0.2,False,False,0.0009996891021728516,0.0
2,first_test,60,0.2,False,False,0.0011217594146728516,0.0
2,second_test,60,0.2,False,False,0.001001119613647461,0.0
2,third_test,60,0.2,False,False,0.0009987354278564453,0.0
0,dummy_test,70,0.2,False,False,0.0,0.0
0,first_test,70,0.2,False,False,0.0009996891021728516,0.0
0,second_test,70,0.2,False,False,0.002123117446899414,0.0
0,third_test,70,0.2,False,False,0.0010004043579101562,0.0
1,dummy_test,70,0.2,False,False,0.001987457275390625,0.0
1,first_test,70,0.2,False,False,0.0009989738464355469,0.0
1,second_test,70,0.2,False,False,0.0010001659393310547,0.0
1,third_test,70,0.2,False,False,0.0010006427764892578,0.0
2,dummy_test,70,0.2,False,False,0.001999378204345703,0.0
2,first_test,70,0.2,False,False,0.0009996891021728516,0.0
2,second_test,70,0.2,False,False,0.0009999275207519531,0.0
2,third_test,70,0.2,False,False,0.0009999275207519531,0.0
0,dummy_test,80,0.2,False,False,0.0009968280792236328,0.0
0,first_test,80,0.2,False,False,0.00099945068359375,0.0
0,second_test,80,0.2,False,False,0.0019991397857666016,0.0
0,third_test,80,0.2,False,True,0.0030012130737304688,0.0
1,dummy_test,80,0.2,False,False,0.0009989738464355469,0.0
1,first_test,80,0.2,False,False,0.0009992122650146484,0.0
1,second_test,80,0.2,False,False,0.0009999275207519531,0.0
1,third_test,80,0.2,False,False,0.0020008087158203125,0.0
2,dummy_test,80,0.2,False,False,0.0009987354278564453,0.0
2,first_test,80,0.2,False,False,0.002000093460083008,0.0
2,second_test,80,0.2,False,False,0.0009996891021728516,0.0
2,third_test,80,0.2,False,False,0.001001119613647461,0.0
