Step,Function,Nodes,p,changes,cycling check,Is isomorphic,Test result,Test execution time,NX execution time
5,second_test,10,0.2,2,10,False,False,0.0,0.0
5,third_test,10,0.2,2,10,False,False,0.0,0.0
6,dummy_test,10,0.2,2,10,False,False,0.0010006427764892578,0.0
6,first_test,10,0.2,2,10,False,False,0.0,0.0
6,second_test,10,0.2,2,10,False,False,0.0,0.0
6,third_test,10,0.2,2,10,False,False,0.0,0.0
7,dummy_test,10,0.2,2,10,False,False,0.0,0.0
7,first_test,10,0.2,2,10,False,False,0.0,0.0
7,second_test,10,0.2,2,10,False,False,0.0005037784576416016,0.0
7,third_test,10,0.2,2,10,False,False,0.0,0.0
8,dummy_test,10,0.2,2,10,False,False,0.0,0.0
8,first_test,10,0.2,2,10,False,False,0.0,0.0
8,second_test,10,0.2,2,10,False,False,0.0,0.0
8,third_test,10,0.2,2,10,False,False,0.0,0.0
9,dummy_test,10,0.2,2,10,False,False,0.00099945068359375,0.0
9,first_test,10,0.2,2,10,False,False,0.0,0.0
9,second_test,10,0.2,2,10,False,False,0.0010001659393310547,0.0
9,third_test,10,0.2,2,10,False,True,0.0,0.0
0,dummy_test,10,0.2,3,1,False,False,0.0010080337524414062,0.0
0,first_test,10,0.2,3,1,False,False,0.0,0.0
0,second_test,10,0.2,3,1,False,False,0.0,0.0
0,third_test,10,0.2,3,1,False,False,0.0,0.0
1,dummy_test,10,0.2,3,1,False,False,0.0,0.0
1,first_test,10,0.2,3,1,False,False,0.0,0.0
1,second_test,10,0.2,3,1,False,False,0.0,0.0
1,third_test,10,0.2,3,1,False,False,0.0,0.0
2,dummy_test,10,0.2,3,1,False,True,0.0,0.0
2,first_test,10,0.2,3,1,False,True,0.0,0.0
2,second_test,10,0.2,3,1,False,True,0.0,0.0
2,third_test,10,0.2,3,1,False,True,0.0,0.0
3,dummy_test,10,0.2,3,1,False,False,0.0010008811950683594,0.0
3,first_test,10,0.2,3,1,False,False,0.0,0.0
3,second_test,10,0.2,3,1,False,False,0.0,0.0
3,third_test,10,0.2,3,1,False,False,0.0,0.0
